字,筆畫
﹒,1
·,1
｜,1
―,1
︱,1
—,1
︳,1
╴,1
︴,1
﹏,1
（,1
）,1
︵,1
︶,1
｛,1
｝,1
︷,1
︸,1
〔,1
〕,1
︹,1
︺,1
【,1
】,1
︻,1
︼,1
０,1
１,1
２,1
３,1
６,1
７,1
８,1
９,1
〡,1
⼀,1
⼁,1
⼂,1
⼃,1
⼄,1
⼅,1
〇,1
一,1
乙,1
丨,1
丶,1
丿,1
亅,1
𠂆,1
乀,1
乁,1
乚,1
𡿨,1
𠃑,1
𠃋,1
𠃉,1
𠄌,1
乁,1
𠃊,1
𠃌,1
𠃍,1
󻑔,1
乛,1
󰂗,1
；,2
：,2
？,2
！,2
︰,2
‥,2
﹔,2
﹕,2
﹖,2
﹗,2
《,2
〢,2
〤,2
⼆,2
亠,2
⼈,2
⼉,2
⼊,2
⼋,2
⼌,2
⼍,2
冫,2
⼏,2
⼐,2
⼑,2
⼒,2
勹,2
⼔,2
⼕,2
⼖,2
⼗,2
⼘,2
⼙,2
⼚,2
⼛,2
⼜,2
󹇑,2
󹇒,2
󹇓,2
󹇔,2
󹇕,2
󹇖,2
󹇗,2
󹇘,2
󹇙,2
󹇚,2
󹇛,2
󹇜,2
󹇝,2
󹇞,2
󹇟,2
󹇠,2
󹇷,2
丁,2
七,2
乃,2
九,2
了,2
二,2
人,2
儿,2
入,2
八,2
几,2
刀,2
刁,2
力,2
匕,2
十,2
卜,2
又,2
乂,2
乜,2
凵,2
匚,2
厂,2
丅,2
丄,2
冂,2
冖,2
匸,2
卩,2
厶,2
丂,2
丩,2
𠄎,2
𠘧,2
刂,2
㔾,2
巜,2
𠀀,2
𠂇,2
𠄍,2
𠄏,2
凵,2
𢎘,2
𠁢,2
㐅,2
𠂈,2
𠃐,2
𠃏,2
𠄞,2
𠄟,2
𠄠,2
𠤎,2
𠤬,2
𠁡,2
󿭀,2
󿰾,2
󿶹,2
𠀁,2
𠂉,2
𠂊,2
𠃎,2
𠄐,2
𠆢,2
𠘨,2
𠙴,2
𪜊,2
󺯡,2
󺯣,2
󺯥,2
󺯦,2
󺯰,2
󺰒,2
󻑗,2
󻗭,2
𫠠,2
󽿿,2
󽿾,2
󽿽,2
丆,2
丷,2
乄,2
亻,2
讠,2
龴,2
𠀂,2
，,1
、,1
。,1
．,1
‧,1
﹐,1
﹑,1
﹒,1
·,1
｜,1
―,1
︱,1
—,1
︳,1
╴,1
︴,1
﹏,1
（,1
）,1
︵,1
︶,1
｛,1
｝,1
︷,1
︸,1
〔,1
〕,1
︹,1
︺,1
【,1
】,1
︻,1
︼,1
０,1
１,1
２,1
３,1
６,1
７,1
８,1
９,1
〡,1
⼀,1
⼁,1
⼂,1
⼃,1
⼄,1
⼅,1
〇,1
一,1
乙,1
丨,1
丶,1
丿,1
亅,1
𠂆,1
乀,1
乁,1
乚,1
𡿨,1
𠃑,1
𠃋,1
𠃉,1
𠄌,1
乁,1
𠃊,1
𠃌,1
𠃍,1
󻑔,1
乛,1
󰂗,1
；,2
：,2
